"DeviceClean","DeviceNorm"
"2600-daptor D9 [Wired USB]","2600 daptor d9 wired usb"
"8BitDo - Ultimate 2C Wireless Controller 81HD [Wired USB]","8bitdo ultimate 2c wireless controller 81hd wired usb"
"8BitDo - Ultimate 2C Wireless Controller 81HD [Wireless 2.4G]","8bitdo ultimate 2c wireless controller 81hd wireless 2 4g"
"8BitDo - Ultimate 2C Wireless Controller 81HD [Wireless BT]","8bitdo ultimate 2c wireless controller 81hd wireless bt"
"8BitDo 64 Bluetooth Controller [BT (CSR8510)]","8bitdo 64 bluetooth controller bt csr8510"
"8BitDo Arcade Stick for Switch and Windows [2.4GHz USB]","8bitdo arcade stick for switch and windows 2 4ghz usb"
"8BitDo Arcade Stick for Switch and Windows [BT (CSR8510)]","8bitdo arcade stick for switch and windows bt csr8510"
"8BitDo Arcade Stick for Switch and Windows [Wired USB]","8bitdo arcade stick for switch and windows wired usb"
"8BitDo G Bros [Wii Classic Controller]","8bitdo g bros wii classic controller"
"8BitDo M30 (Bluetooth) [BT (CSR8510)]","8bitdo m30 bluetooth bt csr8510"
"8BitDo M30 (Bluetooth) [Wired USB]","8bitdo m30 bluetooth wired usb"
"8BitDo M30 (Genesis DE9) [DaemonBite Genesis]","8bitdo m30 genesis de9 daemonbite genesis"
"8BitDo M30 (Genesis DE9) [Wired USB]","8bitdo m30 genesis de9 wired usb"
"8BitDo M30 (Genesis Mini & Switch) [2.4 GHz USB]","8bitdo m30 genesis mini and switch 2 4 ghz usb"
"8BitDo M30 (Genesis Mini & Switch) [Wired USB]","8bitdo m30 genesis mini and switch wired usb"
"8BitDo M30 for Xbox [Wired USB]","8bitdo m30 for xbox wired usb"
"8BitDo N30 2.4G NES Classic (Model 81BA) [Raphnet Wii Classic]","8bitdo n30 2 4g nes classic model 81ba raphnet wii classic"
"8BitDo N30 Arcade Stick [BT (CSR8510) MacOS]","8bitdo n30 arcade stick bt csr8510 macos"
"8BitDo N30 Arcade Stick [BT (CSR8510) Switch]","8bitdo n30 arcade stick bt csr8510 switch"
"8BitDo N30 Arcade Stick [BT (CSR8510) Windows]","8bitdo n30 arcade stick bt csr8510 windows"
"8BitDo N30 Arcade Stick [Wired USB Dinput]","8bitdo n30 arcade stick wired usb dinput"
"8BitDo N30 Arcade Stick [Wired USB Xinput]","8bitdo n30 arcade stick wired usb xinput"
"8BitDo N64 Mod Kit [BT (CSR8510) Direct Input]","8bitdo n64 mod kit bt csr8510 direct input"
"8BitDo N64 Mod Kit [BT (CSR8510) Switch]","8bitdo n64 mod kit bt csr8510 switch"
"8BitDo NEOGEO Wireless Controller [2.4GHz USB] FW 1.00beta","8bitdo neogeo wireless controller 2 4ghz usb fw 1 00beta"
"8BitDo NEOGEO Wireless Controller [2.4GHz USB] FW 1.09","8bitdo neogeo wireless controller 2 4ghz usb fw 1 09"
"8BitDo NEOGEO Wireless Controller [BT (CSR8510)] FW 1.00beta","8bitdo neogeo wireless controller bt csr8510 fw 1 00beta"
"8BitDo NEOGEO Wireless Controller [BT (CSR8510)] FW 1.09","8bitdo neogeo wireless controller bt csr8510 fw 1 09"
"8BitDo NEOGEO Wireless Controller [Wired USB] FW 1.00beta","8bitdo neogeo wireless controller wired usb fw 1 00beta"
"8BitDo NEOGEO Wireless Controller [Wired USB] FW 1.09","8bitdo neogeo wireless controller wired usb fw 1 09"
"8BitDo NES30 [8BitDo USB Adapter Dinput] FW 4.10","8bitdo nes30 8bitdo usb adapter dinput fw 4 10"
"8BitDo NES30 [8BitDo USB Adapter Dinput] FW 4.20","8bitdo nes30 8bitdo usb adapter dinput fw 4 20"
"8BitDo NES30 [8BitDo USB Adapter Switch] FW 4.10","8bitdo nes30 8bitdo usb adapter switch fw 4 10"
