"Make","Model","Device","Link","Connection","Wired/Wireless","WirelessConnection","Home Button","Latency Tier","Latency (in ms)","SD","Max","Min","Category","Face Buttons","Row","Date Added","Amazon","MiSTer / PC","Switch","PS4","PS5","Xbox One","Xbox Series","ID","DeviceClean","DeviceNorm","Platforms","Price","PriceNum","Imputed","SD up","SD down","MatchedCaptureFiles","N","RawMean","RawSD","Median","P90","P95","P99","IQR","RawMin","RawMax","PctOnTime","BinA","BinB","BinC","Consistency","HasRawCapture","MetricSource"
"Buffalo","iBuffalo Classic","<a target=_blank href=""https://amzn.to/2X1pUrV"">Buffalo iBuffalo Classic [Wired USB]</a>","https://amzn.to/2X1pUrV","Wired USB","Wired",,"NO","00-01ms (Diamond)",0.69,0.1,1.19,0.19,"Controller","4",97,"5/25/2020",,"YES",,,,,,1,"Buffalo iBuffalo Classic [Wired USB]","buffalo ibuffalo classic wired usb","MiSTer / PC",,,TRUE,0.885996398454005,0.494003601545995,,,,,,,,,,,,95.9,100,0,0,,FALSE,"Direct measurement"
"bootsector","RetroPad32","<a target=_blank href=""http://www.brunofreitas.com/node/84"">bootsector RetroPad32 [Wired USB]</a>","http://www.brunofreitas.com/node/84","Wired USB","Wired",,"-","00-01ms (Diamond)",0.711,0.289,1.248,0.2,"Controller Adapter","-",88,"5/27/2020",,"YES",,,,,,2,"bootsector RetroPad32 [Wired USB]","bootsector retropad32 wired usb","MiSTer / PC",,,FALSE,1.27742959153208,0.144570408467924,,,,,,,,,,,,95.7,100,0,0,,FALSE,"Direct measurement"
"Games","Care Multi Console Arcade (Small)","Games - Care Multi Console Arcade (Small)",,"Wired USB","Wired",,,"00-01ms (Diamond)",0.73,0.293,3.31,0.22,"Controller",,324,"6/11/2026",,"YES",,,,,,3,"Games - Care Multi Console Arcade (Small)","games care multi console arcade small","MiSTer / PC",,,FALSE,1.30426944747024,0.155730552529764,1,2546,0.730302435192459,0.29322103018741,0.72,1.12,1.18,1.22,0.5,0.22,3.31,95.6,100,0,0,59.8,TRUE,"Direct measurement"
"MisterAddons","MiSTercade","<a target=_blank href=""https://misteraddons.com/products/mistercade-v2-kit-mister-fpga-jamma-arcade-kit"">MisterAddons MiSTercade [Wired USB]</a>","https://misteraddons.com/products/mistercade-v2-kit-mister-fpga-jamma-arcade-kit","Wired USB","Wired",,"-","00-01ms (Diamond)",0.738,0.289,1.272,0.216,"Arcade Stick Encoder","-",192,"8/22/2020",,"YES",,,,,,5,"MisterAddons MiSTercade [Wired USB]","misteraddons mistercade wired usb","MiSTer / PC",,,FALSE,1.30442959153208,0.171570408467924,,,,,,,,,,,,95.6,100,0,0,,FALSE,"Direct measurement"
"GamesCare","Multi Console Arcade Stick (Large)","GamesCare Multi Console Arcade Stick (Large) [Wired USB]",,"Wired USB","Wired",,"-","00-01ms (Diamond)",0.739,0.29,1.25,0.22,"Arcade Stick Encoder","-",116,"12/16/2021",,"YES",,,,,,6,"GamesCare Multi Console Arcade Stick (Large) [Wired USB]","gamescare multi console arcade stick large wired usb","MiSTer / PC",,,FALSE,1.30738955551662,0.170610444483384,,,,,,,,,,,,95.6,100,0,0,,FALSE,"Direct measurement"
"Games","Care Multi Console Arcade (Large)","Games - Care Multi Console Arcade (Large)",,"Wired USB","Wired",,,"00-01ms (Diamond)",0.739,0.29,1.25,0.22,"Arcade Stick",,395,"6/11/2026",,"YES",,,,,,7,"Games - Care Multi Console Arcade (Large)","games care multi console arcade large","MiSTer / PC",,,FALSE,1.30738955551662,0.170610444483384,1,3035,0.738579901153212,0.290116006264665,0.74,1.14,1.18,1.22,0.5,0.22,1.25,95.6,100,0,0,60.7,TRUE,"Direct measurement"
"atrac17 + DJHardRich","RP2040 LS-30 Rotary Encoder","<a target=_blank href=""-"">atrac17 + DJHardRich RP2040 LS-30 Rotary Encoder [Wired USB]</a>","-","Wired USB","Wired",,"-","00-01ms (Diamond)",0.747,0.422,15.36,0.24,"Arcade Stick Encoder","-",84,"9/24/2022",,"YES",,,,,,8,"atrac17 + DJHardRich RP2040 LS-30 Rotary Encoder [Wired USB]","atrac17 djhardrich rp2040 ls 30 rotary encoder wired usb","MiSTer / PC",,,FALSE,1.5741048014759,0,,,,,,,,,,,,95.5,100,0,0,,FALSE,"Direct measurement"
"atrac17","Spinner","atrac17 - Spinner",,"Wired USB","Wired",,,"00-01ms (Diamond)",0.747,0.422,15.36,0.24,"Arcade Stick",,391,"6/11/2026",,"YES",,,,,,9,"atrac17 - Spinner","atrac17 spinner","MiSTer / PC",,,FALSE,1.5741048014759,0,1,2241,0.747452030343597,0.421776192711328,0.73,1.15,1.2,1.24,0.49,0.24,15.36,95.5,100,0,0,43.6,TRUE,"Direct measurement"
"DaemonBite","Genesis to USB Adapter","<a target=_blank href=""https://www.daemonbite.com/product/sega-genesis-mega-drive-controller-to-usb-adapter/"">DaemonBite Genesis to USB Adapter [Genesis 3 Button]</a>","https://www.daemonbite.com/product/sega-genesis-mega-drive-controller-to-usb-adapter/","Wired USB","Wired",,"NO","00-01ms (Diamond)",0.75,0.29,1.28,0.24,"Controller Adapter","-",102,"5/25/2020",,"YES",,,,,,10,"DaemonBite Genesis to USB Adapter [Genesis 3 Button]","daemonbite genesis to usb adapter genesis 3 button","MiSTer / PC",,,FALSE,1.31838955551662,0.181610444483384,,,,,,,,,,,,95.5,100,0,0,,FALSE,"Direct measurement"
"DaemonBite","Arcade Controller","<a target=_blank href=""https://github.com/MickGyver/DaemonBite-Arcade-Encoder"">DaemonBite Arcade Controller [Wired USB]</a>","https://github.com/MickGyver/DaemonBite-Arcade-Encoder","Wired USB","Wired",,"-","00-01ms (Diamond)",0.758,0.289,1.264,0.236,"Arcade Stick Encoder","-",99,"5/30/2020",,"YES",,,,,,11,"DaemonBite Arcade Controller [Wired USB]","daemonbite arcade controller wired usb","MiSTer / PC",,,FALSE,1.32442959153208,0.191570408467925,,,,,,,,,,,,95.5,100,0,0,,FALSE,"Direct measurement"
