"DeviceNorm","MatchedCaptureFiles","CaptureExamples"
"8bitdo arcade stick for switch windows 2 4g xinput",1,"8BitDo Arcade Stick for Switch Windows 2.4G Xinput"
"8bitdo arcade stick for switch windows bt xinput",1,"8BitDo Arcade Stick for Switch Windows BT Xinput"
"8bitdo arcade stick for switch windows wired xinput",1,"8BitDo Arcade Stick for Switch Windows Wired Xinput"
"8bitdo gbros",1,"8BitDo GBros"
"8bitdo m30 wired controller for xbox",1,"8BitDo  M30 Wired Controller for Xbox"
"8bitdo neogeo 2 4g fw1 00beta",1,"8BitDo NeoGeo 2.4G fw1.00beta"
"8bitdo neogeo 2 4g fw1 09",1,"8BitDo NeoGeo 2.4G fw1.09"
"8bitdo neogeo bt fw1 00beta",1,"8BitDo NeoGeo BT fw1.00beta"
"8bitdo neogeo bt fw1 09",1,"8BitDo NeoGeo BT fw1.09"
"8bitdo neogeo usb fw1 00beta",1,"8BitDo NeoGeo USB fw1.00beta"
"8bitdo neogeo usb fw1 09",1,"8BitDo NeoGeo USB fw1.09"
"8bitdo pro2 wired switch d input 82bc",1,"8BitDo Pro2 Wired Switch D Input 82BC"
"8bitdo ultimate 2c wireless controller 81hd wired usb 2dc8 310a",1,"8BitDo Ultimate 2C Wireless Controller 81HD - Wired USB [2dc8_310a]"
"8bitdo ultimate 2c wireless controller 81hd wireless 2 4g 2dc8 310a",1,"8BitDo Ultimate 2C Wireless Controller 81HD - Wireless 2.4G [2dc8_310a]"
"8bitdo ultimate 2c wireless controller 81hd wireless bt 2dc8 310b",1,"8BitDo Ultimate 2C Wireless Controller 81HD - Wireless BT [2dc8_310b]"
"atrac17 spinner",1,"atrac17 Spinner"
"feralai gp2040 encoder",1,"FeralAI GP2040 Encoder"
"finera usb 2 0 games controller adapter converter cable",1,"Finera USB 2.0 Games Controller Adapter Converter Cable"
"flydigi vader2 classic mode csr 4 0",1,"FlyDigi VADER2 Classic Mode [CSR 4.0]"
"flydigi vader2 classic mode edimax ble",1,"FlyDigi VADER2 Classic Mode [Edimax BLE]"
"games care multi console arcade large",1,"Games Care Multi Console Arcade (Large)"
"games care multi console arcade small",1,"Games Care Multi Console Arcade (Small)"
"gravis gamepad",1,"Gravis Gamepad"
"hori fighting commander octa playstation pc",1,"Hori Fighting Commander Octa Playstation PC"
"hori fighting commander octa playstation ps4",1,"Hori Fighting Commander Octa Playstation PS4"
"hori fighting commander switch 0f0d00dc",1,"Hori Fighting Commander Switch 0f0d00dc"
"hori fighting stick mini 0f0d0137",1,"Hori Fighting Stick mini 0f0d0137"
"jammix",1,"JAMMIX"
"mayflash wii classic to usb",1,"Mayflash Wii Classic to USB"
"mcbazel playstation 2 controller to usb adapter for pc or playstation 3 converter cable for sony dualshock ps2 ps3 controllers not compatible with dancing mat guitar hero",1,"Mcbazel PlayStation 2 Controller to USB Adapter for PC or Playstation 3 Converter Cable for Sony DualShock PS2 PS3 Controllers (NOT compatible with Dancing Mat Guitar Hero)"
"microsoft gamepad",1,"Microsoft Gamepad"
"microsoft wireless controller wired",1,"Microsoft Wireless Controller Wired"
"microsoft wireless controller wireless",1,"Microsoft Wireless Controller Wireless"
"ps2 controller to usb adapter converter cable",1,"PS2 Controller to USB Adapter Converter Cable"
"sega astro city pad",1,"Sega Astro City Pad"
"sega astro city stick",1,"Sega Astro City Stick"
"sony dual sense bt4 2",1,"Sony Dual Sense BT4.2"
"sony dual sense wired",1,"Sony Dual Sense Wired"
"timville triple controller",1,"Timville Triple Controller"
